Страна;Код;Регион;Исчезнувшая;Объединение;Комментарий
Филиппины;ph;Азия;;;
Финляндия;fi;Европа;;;
Фолклендские острова;fk;Америка;;;Заморская территория Великобритании в Южной Атлантике
Франция;fr;Европа;;;
Французская Гвиана;gf;Америка;;;Заморский департамент Франции в Южной Америке
Французская Западная Африка;fr;Африка;+;;Бывшая колония Франции в Африке, территория современных государств: Кот-д’Ивуар, Буркина-Фасо, Бенин, Мавритания, Нигер, Сенегал, Мали
Французская Океания;pf;Австралия и Океания;+;;Бывшая колония Франции в Тихом океане, территория современной Французской Полинезии
Французская Полинезия;pf;Австралия и Океания;;;Заморское сообщество Франции в Тихом океане
Французская Экваториальная Африка;french_equatorial_africa;Африка;+;;Бывшая колония Франции в Африке, территория современных государств: Габон, Республика Конго, ЦАР, Чад
Французские афар и исса;fr;Африка;+;;Бывшая колония Франции в Африке, территория современного Джибути
Французский Индокитай;french_indochina;Азия;+;;Бывшая колония Франции на полуострове Индокитай, территория современных государств: Вьетнам, Камбоджа, Лаос
Французское Сомали;fr;Африка;+;;Бывшая колония Франции в Африке, территория современного Джибути
Хорватия;hr;Европа;;;
ЦАР;cf;Африка;;;
Центральная Африка;unknown;Африка;;+;Единый эмитент валюты для шести государств Центральной Африки: Габон, Камерун, Республика Конго, ЦАР, Чад, Экваториальная Гвинея
Чад;td;Африка;;;
Черногория;me;Европа;;;
Чехия;cz;Европа;;;
Чехословакия;cz;Европа;+;;Бывшее государство в Центральной Европе, территория современных государств: Чехия, Словакия
Чили;cl;Америка;;;
Швейцария;ch;Европа;;;
Швеция;se;Европа;;;
Шпицберген;sj;Европа;;;Территория Норвегии в Северном Ледовитом океане с особым статусом
Шри-Ланка;lk;Азия;;;
Эквадор;ec;Америка;;;
Экваториальная Гвинея;gq;Африка;;;
Эритрея;er;Африка;;;
Эсватини;sz;Африка;;;
Эстония;ee;Европа;;;
Эфиопия;et;Африка;;;
ЮАР;za;Африка;;;
Югославия;yugoslavia;Европа;+;;Бывшее государство в Южной Европе, территория современных государств: Сербия, Косово, Хорватия, Словения, Северная Македония, Черногория, Босния и Герцеговина
Южная Георгия и Южные Сандвичевы Острова;gs;Америка;;;Заморская территория Великобритании в Южной Атлантике
Южная Корея;kr;Азия;;;
Южный Судан;ss;Африка;;;
Ямайка;jm;Америка;;;
Япония;jp;Азия;;;
